  UID     PID    PPID %MEM CMD
    0       2       0  0.0 [kthreadd]
    0       3       2  0.0   [rcu_gp]
    0       4       2  0.0   [rcu_par_gp]
    0       5       2  0.0   [netns]
    0       7       2  0.0   [kworker/0:0H-events_highpri]
    0       9       2  0.0   [mm_percpu_wq]
    0      10       2  0.0   [rcu_tasks_rude_]
    0      11       2  0.0   [rcu_tasks_trace]
    0      12       2  0.0   [ksoftirqd/0]
    0      13       2  0.0   [rcu_sched]
    0      14       2  0.0   [migration/0]
    0      15       2  0.0   [idle_inject/0]
    0      17       2  0.0   [cpuhp/0]
    0      18       2  0.0   [cpuhp/1]
    0      19       2  0.0   [idle_inject/1]
    0      20       2  0.0   [migration/1]
    0      21       2  0.0   [ksoftirqd/1]
    0      23       2  0.0   [kworker/1:0H-kblockd]
    0      24       2  0.0   [kdevtmpfs]
    0      25       2  0.0   [inet_frag_wq]
    0      27       2  0.0   [kauditd]
    0      28       2  0.0   [khungtaskd]
    0      29       2  0.0   [oom_reaper]
    0      30       2  0.0   [writeback]
    0      31       2  0.0   [kcompactd0]
    0      32       2  0.0   [ksmd]
    0      33       2  0.0   [khugepaged]
    0      79       2  0.0   [kintegrityd]
    0      80       2  0.0   [kblockd]
    0      81       2  0.0   [blkcg_punt_bio]
    0      82       2  0.0   [tpm_dev_wq]
    0      83       2  0.0   [ata_sff]
    0      84       2  0.0   [md]
    0      85       2  0.0   [edac-poller]
    0      86       2  0.0   [devfreq_wq]
    0      87       2  0.0   [watchdogd]
    0      89       2  0.0   [kworker/0:1H-kblockd]
    0      90       2  0.0   [kswapd0]
    0      91       2  0.0   [ecryptfs-kthrea]
    0      93       2  0.0   [kthrotld]
    0      96       2  0.0   [mld]
    0      97       2  0.0   [ipv6_addrconf]
    0     106       2  0.0   [kstrp]
    0     109       2  0.0   [zswap-shrink]
    0     110       2  0.0   [kworker/u5:0]
    0     115       2  0.0   [charger_manager]
    0     155       2  0.0   [scsi_eh_0]
    0     156       2  0.0   [scsi_tmf_0]
